ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
101;;2;5;4;2;1;1;1;11;6;3,01;3,54;1,03
102;Eu imagino eu sendo um jogador de futebol, porque é meu sonho                                                                                                                                                   ;1;5;3;2;2;1;2;14;7;3,02;1,75;2,1
103;Me formando em juizado, e formando uma família,                                                                                                                                                                 ;1;4;3;2;2;2;1;14;8;3,02;1,96;2,21
104;Eu imagino que a minha vida vai ser muito feliz se depender de mim,                                                                                                                                             ;1;5;1;3;1;2;1;12;7;3,03;2,24;3,26
105;dando em dinheiro                                                                                                                                                                                             ;1;2;3;2;2;2;2;12;6;3,04;1,96;3,9
106;Um rapaz formado e trabalhando                                                                                                                                                                                  ;1;4;3;1;2;1;2;14;7;3,04;2,74;1,15
107;Uma vida normal Com uma vida finceira boa o suficiente para me sustentar                                                                                                                                     ;1;3;3;2;2;1;2;13;7;3,05;1,03;1,49
108;Me imagino médica pediatra com uma família formada                                                                                                                                                              ;1;4;4;;2;1;1;14;9;3,05;2,46;1,36
109;Eu imagino Eu sendo Policial                                                                                                                                                                                    ;1;2;4;2;1;2;1;12;6;3,05;2,7;1,03
110;;1;3;4;2;2;1;1;12;7;3,06;1,71;1,42
111;Uma vida boa um engenheiro de sucesso                                                                                                                                                                           ;3;4;2;1;2;1;2;13;8;3,06;1,97;3,94
112;                                                                                                                                                                                                                ;1;5;4;3;1;1;1;12;7;3,06;2,04;0,92
113;Eu imagino a minha vida no futuro, boa, Imagino que eu possa ser um produtor musical de sucesso e tenha uma família linda,                                                                                      ;1;4;4;2;2;1;2;14;9;3,06;2,72;1,53
114;Eu me imagino sentado no sofá da sala da minha casa assistindo televisão                                                                                                                                        ;1;3;3;2;2;;2;13;8;3,07;1,76;1,2
115;Não faço ideia como vai ser meu futuro                                                                                                                                                                          ;1;2;5;1;1;1;1;13;6;3,07;2,46;2,19
116;Tendo minha casa, formada em medici, trabalhando nesta profissão, casada e com 2 filhos,                                                                                                                      ;1;4;3;2;2;1;1;13;8;3,07;3,17;2,69
117;Uma vida melhor em um lar e sempre ficar perto das pessoas que eu amo                                                                                                                                           ;1;4;4;2;2;1;1;12;7;3,07;3,47;1,74
118;um jogador de futebol                                                                                                                                                                                           ;3;4;4;2;1;1;2;13;7;3,08;1;1,72
119;Tendo uma família e sendo bombeiro                                                                                                                                                                              ;1;2;4;2;1;2;2;12;7;3,08;2,46;2,05
120;Trabalhando ou estudando mais                                                                                                                                                                                   ;1;4;3;2;1;1;1;13;8;3,08;5,02;3,14
121;Otima Vou atras do meu sonho e ai vai ser só coisa boa                                                                                                                                                         ;1;5;4;3;2;1;2;13;7;3,09;1,01;1,56
122;Rica, trabalhando  Globo com um marido lindo, e uma mansão do Rio de Janeiro                                                                                                                                  ;1;4;3;2;2;1;1;12;7;3,09;1,08;1,44
123;não                                                                                                                                                                                                             ;1;2;2;1;1;1;2;11;6;3,1;1,51;1,11
