"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
194;"Jogando futebol ou sendo engenheiro megatronico                                                                                                                                                                 ";.;4;4;2;"Não1";"Não2";2;11;6;"3,34";"3,5";"1,32";208;"JOGANDO FUTEBOL"
195;"Um homem de negócios muito importante, com uma boa casa, boa esposa e principalmente uma otima pessoa,                                                                                                          ";.;3;3;2;"Não1";"Não1";2;14;9;"3,34";"3,96";"2,61";208;"UM HOMEM DE NEG"
197;"Bem sucedido                                                                                                                                                                                                    ";.;2;3;2;"Não2";"Não2";1;13;8;"3,35";"2,65";"2,15";208;"BEM SUCEDIDO   "
199;"Casada, com tres filhos e more de cabelos longos e pretos                                                                                                                                                     ";.;5;3;2;"Não1";"Não1";1;13;6;"3,36";"1,61";"2,13";206;"CASADA, COM TRE"
200;"Eu imagino eu tando formada, trabalho para poder ajudar minha mãe e também que eu possa mudar a vida de muitas pessoas com o amor de Deus                                                                       ";.;3;4;2;"Não2";"Não1";1;13;7;"3,37";"1,75";"1,62";208;"EU IMAGINO EU T"
201;"Eu imagino uma grande mulher, com saúde, amor, família, e muitas s coisas                                                                                                                                  ";.;5;4;2;"Não2";"Não1";1;12;7;"3,37";"1,95";"1,39";203;"EU IMAGINO UMA "
202;"Veteririo fodão                                                                                                                                                                                               ";.;4;3;2;"Não1";"Não2";.;14;7;"3,37";"1,96";"1,62";206;"VETERIRIO FODÃO"
203;"Eu me imagino rica, com muita saúde                                                                                                                                                                             ";.;5;4;2;"Não1";"Não1";1;11;6;"3,39";"0,98";"1,31";208;"EU ME IMAGINO R"
204;"Que eu me formo, trabalho, ter casa bonita e grande e da uma boa vida para minha vós e mãe                                                                                                                      ";.;4;3;3;"Não2";"Não2";1;12;7;"3,39";"3,46";"1,35";208;"QUE EU ME FORMO"
206;"Normal                                                                                                                                                                                                          ";.;3;1;2;.;"Não2";2;14;9;"3,4";"3,01";"2,15";208;"NORMAL         "
207;"Bem de vida com a mnha realizando meus sonhos                                                                                                                                                                   ";.;4;3;3;"Não2";"Não1";2;12;7;"3,4";"3,97";"1,34";208;"BEM DE VIDA COM"
208;"Muito bom e sendo youtuber                                                                                                                                                                                      ";.;4;2;3;"Não2";"Não1";2;12;7;"3,41";"1,22";"0,98";208;"MUITO BOM E SEN"
209;"Formada, casada e com minha família em uma casa bonita e viajando para muitos lugares                                                                                                                           ";.;4;3;2;"Não2";"Não2";1;14;9;"3,41";"3,47";"1,71";208;"FORMADA, CASADA"
210;"Muito trabalho, muito legal também                                                                                                                                                                              ";.;3;3;2;"Não1";"Não1";2;11;5;"3,42";"0,91";"1,01";208;"MUITO TRABALHO,"
211;"Uma (Palavra incompreensível) boa                                                                                                                                                                              ";.;4;3;2;"Não2";"Não1";1;13;7;"3,42";"1,78";"1,35";207;"UMA (PALAVRA IN"
212;"com um bom emprego, uma carreira profissiol promissora                                                                                                                                                        ";.;2;4;2;"Não2";"Não2";2;14;8;"3,42";"2,68";"2,98";206;"COM UM BOM EMPR"
213;"Imagino eu famoso no youtube                                                                                                                                                                                    ";.;4;4;2;"Não2";"Não1";2;13;6;"3,42";"2,78";"2,95";208;"IMAGINO EU FAMO"
214;"Uma pessoa bem sucedida                                                                                                                                                                                         ";.;5;4;3;"Não1";"Não1";1;13;7;"3,43";"1,47";"1,47";208;"UMA PESSOA BEM "
215;"Uma vida ruim, uma vida paia Por conta dos problemas de agora, que podem afetar o futuro                                                                                                                       ";.;4;3;3;"Não2";"Não2";1;12;7;"3,43";"2,01";"2,41";207;"UMA VIDA RUIM, "
216;"Não penso no futuro, vivo o presente                                                                                                                                                                            ";.;4;4;2;"Não2";"Não2";2;12;7;"3,43";"2,24";"1,84";208;"NÃO PENSO NO FU"
217;"Morta                                                                                                                                                                                                           ";.;2;2;2;"Não1";"Não2";1;12;7;"3,43";"3,55";"1,94";208;"MORTA          "
218;"Morando com a minha melhor amiga, trabalhando e nos tempos vagos fazendo fotografias,                                                                                                                           ";.;3;4;2;"Não2";"Não1";1;13;8;"3,43";"4,45";"2,12";208;"MORANDO COM A M"
219;"Bem com o mundo, casa e minha família                                                                                                                                                                           ";.;4;5;2;"Não1";"Não1";1;12;7;"3,44";"1";"1,04";208;"BEM COM O MUNDO"
220;"Idealizo a minha vida futura bem desenvolvida fora do Brasil fazendo o meu sonho                                                                                                                                ";.;4;3;2;"Não2";"Não2";2;13;8;"3,44";"1,71";"2,36";208;"IDEALIZO A MINH"
221;"formada , ser rica                                                                                                                                                                                              ";.;3;3;2;"Não2";"Não1";1;13;7;"3,44";"2,98";"1,55";208;"FORMADA , SER R"
222;"um bom emprego com linda familha                                                                                                                                                                                ";.;3;4;2;"Não1";"Não1";2;12;6;"3,44";"3,25";"0,96";208;"UM BOM EMPREGO "
223;"Ser veterinário, Ser um homem, bem de vida, para ajudar meus pais                                                                                                                                               ";.;4;4;2;"Não1";"Não2";2;11;6;"3,45";"1,32";"1,8";208;"SER VETERINÁRIO"
224;"boa no emprego bom                                                                                                                                                                                              ";.;4;2;2;"Não2";"Não1";2;13;8;"3,45";"2,88";"1,72";208;"BOA NO EMPREGO "
225;"Eu com muito dinheiro é uma massão,                                                                                                                                                                             ";.;3;1;2;"Não2";"Não2";2;12;6;"3,45";"2,97";"2,01";208;"EU COM MUITO DI"
